Symbol,Name,DesignationDate,Reason
1470,삼부토건,2025-04-01,"상장폐지 사유의 발생,회생절차개시신청,반기검토의견 의견거절"
1570,금양,2025-08-18,"반기검토의견 의견거절,공시의무 위반,상장폐지 사유의 발생"
2210,동성제약,2025-08-18,"회생절차개시신청,반기검토의견 의견거절"
2410,범양건영,2026-01-07,"회생절차개시신청,반기검토의견 의견거절,상장폐지 사유의 발생"
5030,부산주공,2025-05-22,자본잠식(자본금의 50/100이상 잠식)
5110,한창,2024-08-16,"반기검토의견 의견거절,상장폐지 사유의 발생"
6490,인스코비,2025-08-18,반기검토의견 의견거절
8110,대동전자,2024-06-19,"기타,감사범위제한으로인한 감사의견한정"
9440,KC그린홀딩스,2025-03-21,"반기검토의견 의견거절,상장폐지 사유의 발생"
11810,STX,2025-12-22,회생절차개시신청
71950,코아스,2025-10-10,공시의무 위반
74610,이엔플러스,2025-08-18,"상장폐지 사유의 발생,반기검토의견 의견거절"
119650,KC코트렐,2025-03-21,"반기검토의견 의견거절,상장폐지 사유의 발생"
145210,다이나믹디자인,2025-03-24,감사범위제한으로인한 감사의견한정
204210,스타에스엠리츠,2025-11-10,반기검토의견 의견거절
426330,KIWOOM 미국ETF산업STOXX,2026-01-02,ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재)
481200,SOL 미국테크TOP10인버스(합성),2026-01-02,ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재)
488210,KIWOOM K-반도체북미공급망,2026-01-02,ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재)
1840,이화공영,2025-04-02,상장폐지사유 발생
16790,현대사료,2025-05-16,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
27040,서울전자통신,2025-03-21,자본잠식률 50% 이상
30350,드래곤플라이,2025-04-11,상장폐지사유 발생
32980,바이온,2025-04-14,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
35890,서희건설,2025-09-24,상장적격성 실질심사 대상 결정
36180,지더블유바이텍,2024-10-30,"상장적격성 실질심사 대상 결정,회생절차 개시신청,상장폐지사유 발생"
36690,코맥스,2025-04-08,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정"
41590,플래스크,2025-05-23,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
43090,더테크놀로지,2025-04-08,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정,상장폐지사유 발생,매출액 30억원 미달"
43220,티에스넥스젠,2025-04-01,상장폐지사유 발생
46070,코다코,2023-03-24,"상장폐지사유 발생,상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,회생절차 개시신청"
49180,셀루메드,2025-03-24,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,자본잠식률 50% 이상"
52670,제일바이오,2023-09-04,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
52770,아이톡시,2025-03-26,자본잠식률 50% 이상
54180,메디콕스,2025-09-03,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
60240,스타코링크,2025-04-08,"상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
65150,대산F&B,2025-04-11,상장적격성 실질심사 대상 결정
65570,삼영이엔씨,2025-03-21,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
65650,하이퍼코퍼레이션,2025-03-24,자본잠식률 50% 이상
66410,버킷스튜디오,2025-05-09,상장적격성 실질심사 대상 결정
66790,씨씨에스,2025-08-04,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
68940,셀피글로벌,2025-01-15,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
73570,리튬포어스,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
73640,테라사이언스,2024-04-09,"상장폐지사유 발생,사외이사수 미달"
79970,투비소프트,2025-03-24,상장폐지사유 발생
80720,한국유니온제약,2024-11-25,"상장적격성 실질심사 대상 결정,상장폐지사유 발생,회생절차 개시신청"
82660,코스나인,2024-10-07,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
92600,앤씨앤,2025-03-19,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
96610,알에프세미,2024-03-07,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
99520,DGI,2023-11-15,상장적격성 실질심사 대상 결정
101390,아이엠,2025-04-08,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
106520,노블엠앤비,2023-04-10,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,회생절차 개시신청,상장폐지사유 발생"
117670,알파칩스,2024-04-09,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
121800,비덴트,2025-04-02,상장적격성 실질심사 대상 결정
123840,뉴온,2024-03-21,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
139050,BF랩스,2024-04-09,상장폐지사유 발생
149980,하이로닉,2025-04-08,상장폐지사유 발생
174900,앱클론,2025-03-25,매출액 30억원 미달
175250,아이큐어,2025-09-18,상장적격성 실질심사 대상 결정
180400,DXVX,2025-03-21,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
182400,엔케이맥스,2024-04-08,"자기자본 10억원 미만,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
196300,HLB펩,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
196490,디에이테크놀로지,2024-04-24,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
203690,아크솔루션스,2025-03-14,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
204630,스튜디오산타클로스,2024-04-09,상장폐지사유 발생
217480,에스디생명공학,2023-03-23,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
217620,선샤인푸드,2024-04-12,상장폐지사유 발생
219550,디와이디,2025-03-24,자본잠식률 50% 이상
222160,NPX,2024-03-29,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
222810,세토피아,2024-04-05,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
227100,프로브잇,2025-02-24,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
230980,비유테크놀러지,2024-03-22,"상장폐지사유 발생,회생절차 개시신청"
234920,자이글,2025-12-11,상장적격성 실질심사 대상 결정
241820,피씨엘,2025-03-25,"상장적격성 실질심사 대상 결정,자본잠식률 50% 이상,매출액 30억원 미달,상장폐지사유 발생"
244460,올리패스,2024-03-20,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상"
245620,EDGC,2024-04-19,"상장폐지사유 발생,회생절차 개시신청"
246250,에스엘에스바이오,2025-07-22,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
258830,세종메디칼,2024-04-12,"상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생"
269620,시스웍,2022-03-24,"상장폐지사유 발생,회생절차 개시신청,자기자본 10억원 미만,자본잠식률 50% 이상"
284620,카이노스메드,2025-03-24,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생,상장적격성 실질심사 대상 결정,자본잠식률 50% 이상"
288330,파라택시스코리아,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
290720,푸드나무,2025-03-21,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,자본잠식률 50% 이상"
294090,이오플로우,2025-03-24,상장폐지사유 발생
298060,에스씨엠생명과학,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
352770,셀레스트라,2025-04-07,"회생절차 개시신청,파산신청,상장폐지사유 발생"
377460,위니아에이드,2023-10-27,상장적격성 실질심사 대상 결정
405000,플라즈맵,2025-03-18,자본잠식률 50% 이상
412540,제일엠앤에스,2025-04-07,"상장폐지사유 발생,회생절차 개시신청"
418250,시큐레터,2025-03-17,상장적격성 실질심사 대상 결정
450940,유안타제14호스팩,2026-01-20,SPAC 상장예비심사청구서 미제출 등
455910,SK증권제9호스팩,2026-01-14,SPAC 상장예비심사청구서 미제출 등
457940,SK증권제10호스팩,2026-02-04,SPAC 상장예비심사청구서 미제출 등
